Name,Scientific Name,Class,Family,Lifespan (years),Top Speed (km/h),Weight (kg),Length (cm),Diet,Population Trend,Population Status,Mating Behavior,Arid Climate,Cold Climate,Polar Climate,Temperate Climate,Tropical Climate,Africa,Antarctica,Asia,Europe,North America,Oceania,South America
Maroon Leaf Monkey,Presbytis rubicunda,Mammalia,Cercopithecidae,18.121026894865526,41.829850746268654,5.0,48.0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0
Marsh Deer,Blastocerus dichotomus,Mammalia,Cervidae,10.0,41.829850746268654,102.5,176.5,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1
Marsh Mongoose,Atilax paludinosus,Mammalia,Herpestidae,17.0,41.829850746268654,2.5,49.5,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0
Marsh Rabbit,Sylvilagus palustris,Mammalia,Leporidae,4.0,41.829850746268654,1.5,43.5,2,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
Marsh Wren,Cistothorus palustris,Aves,Troglodytidae,9.0,66.8076923076923,0.011000000000000001,12.0,1,3,1,1,0,0,0,1,1,0,0,0,0,1,0,0
Marsupial Mole,Genus Notoryctes,Mammalia,Notoryctidae,1.0,41.829850746268654,0.05,15.0,1,2,1,2,1,0,0,1,1,0,0,0,0,0,1,0
Martial Eagle,Polemaetus bellicosus,Aves,Accipitridae,19.5,66.8076923076923,4.5,87.0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
Masked Palm Civet,Paguma larvata,Mammalia,Viverridae,15.0,41.829850746268654,4.5,63.5,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0
Massasauga,Sistrurus catenatus,Reptilia,Viperidae,18.0,22.147727272727273,0.35,67.5,1,0,1,2,1,0,0,1,1,0,0,0,0,1,0,0
Mata Mata,Chelus fimbriata,Reptilia,Chelidae,15.0,22.147727272727273,15.0,45.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Matschie's Tree-Kangaroo,Dendrolagus matschiei,Mammalia,Macropodidae,17.0,21.0,9.0,66.0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0
Meadow Jumping Mouse,Zapus hudsonius,Mammalia,Dipodidae,4.0,41.829850746268654,0.021,21.0,2,2,1,2,1,1,1,1,0,0,0,0,0,1,0,0
Meadow Vole,Microtus pennsylvanicus,Mammalia,Cricetidae,3.0,9.0,0.049,17.15,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0
Mediterranean House Gecko,Hemidactylus turcicus,Reptilia,Gekkonidae,8.0,22.147727272727273,28.274673913043493,15.0,1,3,1,2,0,0,0,0,1,1,0,1,1,0,0,0
Mediterranean Monk Seal,Monachus monachus,Mammalia,Phocidae,32.5,41.829850746268654,320.0,200.0,1,3,2,1,0,0,0,1,1,1,0,1,1,0,0,0
Meerkat,Suricata suricatta,Mammalia,Herpestidae,10.0,32.0,0.0,30.0,1,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0
Melon-Headed Whale,Peponocephala electra,Mammalia,Delphinidae,25.0,41.829850746268654,200.0,300.0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,1,1
Merlin,Falco columbarius,Aves,Falconidae,8.5,48.0,0.212,28.5,1,2,1,0,0,1,1,1,1,1,0,1,1,1,0,1
Merriam's Chipmunk,Neotamias merriami,Mammalia,Sciuridae,5.0,41.829850746268654,0.07400000000000001,13.4,2,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0
Merriam's Kangaroo Rat,Dipodomys merriami,Mammalia,Heteromyidae,9.0,41.829850746268654,0.045,35.0,2,2,1,2,1,0,0,0,1,0,0,0,0,1,0,0
Mexican Beaded Lizard,Heloderma horridum,Reptilia,Helodermatidae,22.0,22.147727272727273,0.8,74.0,1,1,1,2,0,0,0,1,1,0,0,0,0,1,0,0
Mexican Free-Tailed Bat,Tadarida brasiliensis,Mammalia,Molossidae,18.121026894865526,161.0,0.009000000000000001,9.0,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1
Mexican Gray Squirrel,Sciurus aureogaster,Mammalia,Sciuridae,6.0,41.829850746268654,0.527,27.1,2,2,1,2,0,0,0,0,1,0,0,0,0,1,0,0
Mexican Gray Wolf,Canis lupus baileyi,Mammalia,Canidae,12.5,65.0,31.5,144.5,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0
Military Macaw,Ara militaris,Aves,Psittacidae,55.0,55.0,0.451,70.0,2,1,2,0,1,0,0,1,1,0,0,0,0,1,0,1
Milk Snake,Lampropeltis triangulum,Reptilia,Colubridae,16.5,22.147727272727273,0.132,96.0,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1
Milky Stork,Mycteria cinerea,Aves,Ciconiidae,12.0,66.8076923076923,1.741089397089397,49.30568669527897,1,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0
Mistle Thrush,Turdus viscivorus,Aves,Turdidae,12.0,66.8076923076923,0.13,27.5,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0
Mohave Ground Squirrel,Xerospermophilus mohavensis,Mammalia,Sciuridae,6.0,41.829850746268654,0.107,22.0,2,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
Mojave Rattlesnake,Crotalus scutulatus,Reptilia,Viperidae,12.0,22.147727272727273,28.274673913043493,118.5,1,2,1,2,1,0,0,1,1,0,0,0,0,1,0,0
Mona Monkey,Cercopithecus mona,Mammalia,Cercopithecidae,30.0,41.829850746268654,4.5,48.5,2,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0
Mongoose Lemur,Eulemur mongoz,Mammalia,Lemuridae,22.0,41.829850746268654,2.5,38.0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
Monito Del Monte,Dromiciops gliroides,Mammalia,Microbiotheriidae,26.0,41.829850746268654,0.028999999999999998,10.5,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Monk Parakeet,Myiopsitta monachus,Aves,Psittacidae,25.0,66.8076923076923,0.105,29.0,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1
Monk Saki,Pithecia monachus,Mammalia,Pitheciidae,19.0,41.829850746268654,1.5,40.0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
